Metric Name,Unit,Possible Values,Possible error causes
BlockedProcesses,processes,"* Metric Value
* No Data","* This could happen if the ``/proc/stat`` file is inaccessible.
"
CPUSystem,seconds,"* Metric Value
* No Data","* This could happen when the ``psutil``  library encounters errors.
  "
CPUWait,seconds,"* Metric Value
* No Data","* This could happen when the ``psutil``   library encounters errors.
  "
ErrorsRecv,"","* Metric Value
* No Data","* This could happen when the ``psutil``  library encounters errors.
  "
ErrorsSent,"","* Metric Value
* No Data","* This could happen when the ``psutil``  library encounters errors.
  "
FailedJobs,"","* Metric Value
* No Data","* Slurm is not installed.
"
HardwareCorruptedMemory,kB,"* Metric Value
* No Data","* This could happen if the ``/proc/meminfo`` file is inaccessible.
  "
MemoryActive,bytes,"* Metric Value
* No Data","* This could happen when the ``psutil``  library encounters errors.
  "
MemoryAvailable,bytes,"* Metric Value
* No Data","* This could happen when the ``psutil``  library encounters errors.
  "
MemoryCached,bytes,"* Metric Value
* No Data","* This could happen when the ``psutil``   library encounters errors.
  "
MemoryFree,bytes,"* Metric Value
* No Data","* This could happen when the ``psutil``   library encounters errors.
  "
MemoryInactive,bytes,"* Metric Value
* No Data","* This could happen when the ``psutil``  library encounters errors.
  "
MemoryPercent,percent,"* Metric Value
* No Data","* This could happen when the ``psutil``   library encounters errors.
  "
MemoryShared,bytes,"* Metric Value
* No Data","* This could happen when the ``psutil``  library encounters errors.
  "
MemoryTotal,bytes,"* Metric Value
* No Data","* This could happen when the ``psutil``  library encounters errors.
  "
MemoryUsed,bytes,"* Metric Value
* No Data","* This could happen when the ``psutil``  library encounters errors.
  "
NodesDown,"","* Metric Value
* No Data",* Slurm is not installed.
NodesTotal,"","* Metric Value
* No Data","* Slurm is not installed.


"
NodesUp,"","* Metric Value
* No Data","* Slurm is not installed.


"
QueuedJobs,"","* Metric Value
* No Data","* Slurm is not installed.


"
RunningJobs,"","* Metric Value
* No Data","* Slurm is not installed.


"
SMARTHDATemp,C,"* Metric Value
* No Data","* ``smartctl`` commands failed.
  "
UniqueUserLogin,"","* Metric Value
* No Data",""
