Credential Name,Mandatory or Optional,Parameter,Details
Provision password,Mandatory,``provision_password``,"* Password required for root users during OS provisioning on cluster nodes. 
* Length must be at least 8 characters and must not contain commas (``,``), hyphens (``-``), single quotes (``'``), double quotes (``""``), or backslashes (``\\``)."
PostgreSQL database password,Mandatory,``postgresdb_password``,"* Password required for PostgreSQL database. 
* Length must be at least 8 characters and must contain only alphanumeric characters (letters and numbers)."
BMC (iDRAC) username,Mandatory,``bmc_username``,Username for BMC (iDRAC) access. The same credentials must be used across all servers.
BMC (iDRAC) password,Mandatory,``bmc_password``,"* Password required for BMC (iDRAC) access. 
* Length must be at least 3 characters and must not contain commas (``,``), hyphens (``-``), single quotes (``'``), double quotes (``""``), or backslashes (``\\``)."
PXE Switch username,"Optional

.. note:: This paramater is mandatory for switch-based discovery.",``switch_snmp3_username``,"Non-admin SNMPv3 credentials for the PXE switch. If multiple switches are provided, use the same credentials for all switches."
PXE Switch password,"Optional

.. note:: This paramater is mandatory for switch-based discovery.",``switch_snmp3_password``,"* Password required for SNMPv3 access to the PXE switch. 
* Must not contain commas (``,``), hyphens (``-``), single quotes (``'``), or double quotes (``""``)."
Pulp container password,Mandatory,``pulp_password``,"* Password required for setting up the Pulp container. 
* Length must be at least 8 characters and must not contain commas (``,``), hyphens (``-``), single quotes (``'``), double quotes (``""``), or backslashes (``\\``)."
MySQL DB username,Mandatory,``mysqldb_user``,"* Username of the MySQL user.
* This parameter is mandatory in order to set up iDRAC telemetry services."
MySQL DB password,Mandatory,``mysqldb_password``,"* Password of the MySQL user.
* This parameter is mandatory in order to set up iDRAC telemetry services."
MySQL DB root password,Mandatory,``mysqldb_root_password``,"* Root password of the MySQL database (DB).
* This parameter is mandatory in order to set up iDRAC telemetry services."
Grafana username,Mandatory,``grafana_username``,"* Username of the Grafana metrics visualization service.
* This paramter is mandatory if you want to visualize iDRAC telemetry metrics via Grafana dashboards."
Grafana password,Mandatory,``grafana_password``,"* Password of the Grafana metrics visualization service.
* This paramter is mandatory if you want to visualize iDRAC telemetry metrics via Grafana dashboards."
Docker username,Optional,``docker_username``,"* Username for the Dockerhub account.
* This is used to log in to Docker and pull required packages to the cluster."
Docker password,Optional,``docker_password``,"* Password for Dockerhub account. 
* Must be at least 8 characters long and can contain letters, numbers, and special characters."
Slurm database password,Optional,``slurm_db_password``,"* Password for the Slurm database. 
* **Mandatory** if you want to deploy Slurm on your cluster.
* SlurmDB password must not contain special characters like hyphens (``-``), single quotes (``'``), double quotes (``""``), or backslashes (``\\``)."
LDAP directory manager password,Optional,``directory_manager_password``,"* Password for LDAP Directory Manager. 
* **Mandatory** if you want to set up OpenLDAP authentucation on your cluster.
* Must not contain hyphens (``-``), single quotes (``'``), double quotes (``""``), at symbols (``@``), or backslashes (``\\``)."
Kerberos admin password in FreeIPA,Optional,``kerberos_admin_password``,"* Password for Kerberos admin in FreeIPA. 
* **Mandatory** if you want to set up FreeIPA authentication on your cluster.
* Must not contain hyphens (``-``), single quotes (``'``), double quotes (``""``), at symbols (``@``), or backslashes (``\\``)."
OpenLDAP database username,Optional,``openldap_db_username``,"* Username for OpenLDAP database admin. 
* **Mandatory** if you want to set up OpenLDAP authentication on your cluter.
* Must not contain semicolons (``;``), square brackets (``[]``), or backticks (`````)."
OpenLDAP database password,Optional,``openldap_db_password``,"* Password for OpenLDAP database admin. 
* **Mandatory** if you want to set up OpenLDAP authentication on your cluter.
* Must not contain hyphens (``-``), single quotes (``'``), double quotes (``""``), at symbols (``@``), or backslashes (``\\``)."
OpenLDAP configuration admin username,Optional,``openldap_config_username``,"* Username for OpenLDAP configuration admin. 
* **Mandatory** if you want to set up OpenLDAP authentication on your cluter.
* Must not contain semicolons (``;``), square brackets (``[]``), or backticks (`````)."
OpenLDAP configuration admin password,Optional,``openldap_config_password``,"* Password for OpenLDAP configuration admin. 
* **Mandatory** if you want to set up OpenLDAP authentication on your cluter.
* Must not contain hyphens (``-``), single quotes (``'``), double quotes (``""``), at symbols (``@``), or backslashes (``\\``)."
OpenLDAP monitor admin password,Optional,``openldap_monitor_password``,"* Password for OpenLDAP monitor admin. 
* **Mandatory** if you want to set up OpenLDAP authentication on your cluter.
* Must not contain hyphens (``-``), single quotes (``'``), double quotes (``""``), at symbols (``@``), or backslashes (``\\``)."
